fips_code,year,ru_code,ruc_label
01029,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01031,2014_18,4,Nonmetro - urban larger pop. adjacent to metro area
01031,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01031,1990,4,Nonmetro - urban larger pop. adjacent to metro area
01031,1980,4,Nonmetro - urban larger pop. adjacent to metro area
01031,1970,5,Nonmetro - urban larger pop. not adjacent to metro area
01033,2014_18,3,Metro - smallest population
01033,2000,3,Metro - smallest population
01033,1990,3,Metro - smallest population
01033,1980,3,Metro - smallest population
01033,1970,3,Metro - smallest population
01035,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
01035,2000,9,Nonmetro - rural not adjacent to metro area
01035,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
01035,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
01035,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
01037,2014_18,8,Nonmetro - rural adjacent to metro area
01037,2000,8,Nonmetro - rural adjacent to metro area
01037,1990,8,Nonmetro - rural adjacent to metro area
01037,1980,8,Nonmetro - rural adjacent to metro area
01037,1970,8,Nonmetro - rural adjacent to metro area
01039,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01039,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
01039,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
01039,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
01039,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
01041,2014_18,8,Nonmetro - rural adjacent to metro area
01041,2000,8,Nonmetro - rural adjacent to metro area
01041,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01041,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01041,1970,8,Nonmetro - rural adjacent to metro area
01043,2014_18,4,Nonmetro - urban larger pop. adjacent to metro area
01043,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01043,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01043,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01043,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01045,2014_18,4,Nonmetro - urban larger pop. adjacent to metro area
01045,2000,4,Nonmetro - urban larger pop. adjacent to metro area
01045,1990,3,Metro - smallest population
01045,1980,3,Metro - smallest population
01045,1970,5,Nonmetro - urban larger pop. not adjacent to metro area
01047,2014_18,4,Nonmetro - urban larger pop. adjacent to metro area
01047,2000,4,Nonmetro - urban larger pop. adjacent to metro area
01047,1990,4,Nonmetro - urban larger pop. adjacent to metro area
01047,1980,4,Nonmetro - urban larger pop. adjacent to metro area
01047,1970,5,Nonmetro - urban larger pop. not adjacent to metro area
01049,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01049,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01049,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01049,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01049,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01051,2014_18,2,Metro - medium population
01051,2000,2,Metro - medium population
01051,1990,2,Metro - medium population
01051,1980,2,Metro - medium population
01051,1970,3,Metro - smallest population
01053,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01053,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01053,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01053,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01053,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01055,2014_18,3,Metro - smallest population
01055,2000,3,Metro - smallest population
01055,1990,3,Metro - smallest population
01055,1980,3,Metro - smallest population
01055,1970,3,Metro - smallest population
01057,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01057,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01057,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01057,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01057,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01059,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01059,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01059,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01059,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01059,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01061,2014_18,3,Metro - smallest population
01061,2000,3,Metro - smallest population
01061,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01061,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01061,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
01063,2014_18,8,Nonmetro - rural adjacent to metro area
01063,2000,3,Metro - smallest population
01063,1990,8,Nonmetro - rural adjacent to metro area
01063,1980,8,Nonmetro - rural adjacent to metro area
01063,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01065,2014_18,3,Metro - smallest population
01065,2000,3,Metro - smallest population
01065,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01065,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01065,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01067,2014_18,3,Metro - smallest population
01067,2000,3,Metro - smallest population
01067,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01067,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01067,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
01069,2014_18,3,Metro - smallest population
01069,2000,3,Metro - smallest population
01069,1990,3,Metro - smallest population
01069,1980,3,Metro - smallest population
01069,1970,5,Nonmetro - urban larger pop. not adjacent to metro area
01071,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01071,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01071,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01071,1980,4,Nonmetro - urban larger pop. adjacent to metro area
01071,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01073,2014_18,1,Metro - largest population
01073,2000,1,Metro - largest population
01073,1990,2,Metro - medium population
01073,1980,2,Metro - medium population
01073,1970,2,Metro - medium population
01075,2014_18,8,Nonmetro - rural adjacent to metro area
01075,2000,9,Nonmetro - rural not adjacent to metro area
01075,1990,9,Nonmetro - rural not adjacent to metro area
01075,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
01075,1970,9,Nonmetro - rural not adjacent to metro area
01077,2014_18,3,Metro - smallest population
01077,2000,3,Metro - smallest population
01077,1990,3,Metro - smallest population
01077,1980,3,Metro - smallest population
01077,1970,3,Metro - smallest population
01079,2014_18,3,Metro - smallest population
01079,2000,3,Metro - smallest population
01079,1990,3,Metro - smallest population
01079,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01079,1970,8,Nonmetro - rural adjacent to metro area
01081,2014_18,3,Metro - smallest population
01081,2000,3,Metro - smallest population
01081,1990,4,Nonmetro - urban larger pop. adjacent to metro area
01081,1980,4,Nonmetro - urban larger pop. adjacent to metro area
01081,1970,4,Nonmetro - urban larger pop. adjacent to metro area
01083,2014_18,2,Metro - medium population
01083,2000,2,Metro - medium population
01083,1990,2,Metro - medium population
01083,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01083,1970,2,Metro - medium population
01085,2014_18,2,Metro - medium population
01085,2000,2,Metro - medium population
01085,1990,8,Nonmetro - rural adjacent to metro area
01085,1980,8,Nonmetro - rural adjacent to metro area
01085,1970,8,Nonmetro - rural adjacent to metro area
01087,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01087,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01087,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01087,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01087,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01089,2014_18,2,Metro - medium population
01089,2000,2,Metro - medium population
01089,1990,2,Metro - medium population
01089,1980,3,Metro - smallest population
01089,1970,2,Metro - medium population
01091,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
01091,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
01091,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
01091,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
01091,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
01093,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
01093,2000,8,Nonmetro - rural adjacent to metro area
01093,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
01093,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
01093,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01095,2014_18,4,Nonmetro - urban larger pop. adjacent to metro area
01095,2000,4,Nonmetro - urban larger pop. adjacent to metro area
01095,1990,4,Nonmetro - urban larger pop. adjacent to metro area
01095,1980,4,Nonmetro - urban larger pop. adjacent to metro area
01095,1970,2,Metro - medium population
01097,2014_18,2,Metro - medium population
01097,2000,2,Metro - medium population
01097,1990,2,Metro - medium population
01097,1980,2,Metro - medium population
01097,1970,2,Metro - medium population
01099,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
01099,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
01099,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
01099,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
01099,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01101,2014_18,2,Metro - medium population
01101,2000,2,Metro - medium population
01101,1990,2,Metro - medium population
01101,1980,2,Metro - medium population
01101,1970,3,Metro - smallest population
01103,2014_18,3,Metro - smallest population
01103,2000,3,Metro - smallest population
01103,1990,3,Metro - smallest population
01103,1980,4,Nonmetro - urban larger pop. adjacent to metro area
01103,1970,4,Nonmetro - urban larger pop. adjacent to metro area
01105,2014_18,8,Nonmetro - rural adjacent to metro area
01105,2000,8,Nonmetro - rural adjacent to metro area
01105,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
01105,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
01105,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
01107,2014_18,3,Metro - smallest population
01107,2000,8,Nonmetro - rural adjacent to metro area
01107,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01107,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01107,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01109,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01109,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01109,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01109,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
01109,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
01111,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01111,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01111,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
01111,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
01111,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
01113,2014_18,2,Metro - medium population
01113,2000,2,Metro - medium population
01113,1990,2,Metro - medium population
01113,1980,3,Metro - smallest population
01113,1970,3,Metro - smallest population
01115,2014_18,1,Metro - largest population
01115,2000,1,Metro - largest population
01115,1990,2,Metro - medium population
01115,1980,2,Metro - medium population
01115,1970,2,Metro - medium population
01117,2014_18,1,Metro - largest population
01117,2000,1,Metro - largest population
01117,1990,2,Metro - medium population
01117,1980,2,Metro - medium population
01117,1970,2,Metro - medium population
01119,2014_18,8,Nonmetro - rural adjacent to metro area
01119,2000,8,Nonmetro - rural adjacent to metro area
01119,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
01119,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
01119,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
01121,2014_18,4,Nonmetro - urban larger pop. adjacent to metro area
01121,2000,4,Nonmetro - urban larger pop. adjacent to metro area
01121,1990,4,Nonmetro - urban larger pop. adjacent to metro area
01121,1980,4,Nonmetro - urban larger pop. adjacent to metro area
01121,1970,4,Nonmetro - urban larger pop. adjacent to metro area
01123,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01123,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01123,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01123,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
01123,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
01125,2014_18,3,Metro - smallest population
01125,2000,3,Metro - smallest population
01125,1990,3,Metro - smallest population
01125,1980,3,Metro - smallest population
01125,1970,3,Metro - smallest population
01127,2014_18,1,Metro - largest population
01127,2000,1,Metro - largest population
01127,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01127,1980,2,Metro - medium population
01127,1970,2,Metro - medium population
01129,2014_18,8,Nonmetro - rural adjacent to metro area
01129,2000,8,Nonmetro - rural adjacent to metro area
01129,1990,8,Nonmetro - rural adjacent to metro area
01129,1980,8,Nonmetro - rural adjacent to metro area
01129,1970,8,Nonmetro - rural adjacent to metro area
01131,2014_18,9,Nonmetro - rural not adjacent to metro area
01131,2000,8,Nonmetro - rural adjacent to metro area
01131,1990,9,Nonmetro - rural not adjacent to metro area
01131,1980,9,Nonmetro - rural not adjacent to metro area
01131,1970,9,Nonmetro - rural not adjacent to metro area
01133,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
01133,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
01133,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
01133,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
01133,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
02013,2014_18,9,Nonmetro - rural not adjacent to metro area
02013,2000,9,Nonmetro - rural not adjacent to metro area
02013,1990,9,Nonmetro - rural not adjacent to metro area
02013,1980,9,Nonmetro - rural not adjacent to metro area
02013,1970,9,Nonmetro - rural not adjacent to metro area
02016,2014_18,9,Nonmetro - rural not adjacent to metro area
02016,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
02016,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
02016,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
02016,1970,9,Nonmetro - rural not adjacent to metro area
02020,2014_18,2,Metro - medium population
02020,2000,2,Metro - medium population
02020,1990,3,Metro - smallest population
02020,1980,3,Metro - smallest population
02020,1970,3,Metro - smallest population
02050,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
02050,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
02050,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
02050,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
02050,1970,9,Nonmetro - rural not adjacent to metro area
02060,2014_18,9,Nonmetro - rural not adjacent to metro area
02060,2000,9,Nonmetro - rural not adjacent to metro area
02060,1990,9,Nonmetro - rural not adjacent to metro area
02060,1980,9,Nonmetro - rural not adjacent to metro area
02060,1970,9,Nonmetro - rural not adjacent to metro area
02068,2014_18,8,Nonmetro - rural adjacent to metro area
02068,2000,8,Nonmetro - rural adjacent to metro area
02068,1990,9,Nonmetro - rural not adjacent to metro area
02068,1980,9,Nonmetro - rural not adjacent to metro area
02068,1970,9,Nonmetro - rural not adjacent to metro area
02070,2014_18,9,Nonmetro - rural not adjacent to metro area
02070,2000,9,Nonmetro - rural not adjacent to metro area
02070,1990,9,Nonmetro - rural not adjacent to metro area
02070,1980,9,Nonmetro - rural not adjacent to metro area
02070,1970,9,Nonmetro - rural not adjacent to metro area
02090,2014_18,3,Metro - smallest population
02090,2000,3,Metro - smallest population
02090,1990,5,Nonmetro - urban larger pop. not adjacent to metro area
02090,1980,5,Nonmetro - urban larger pop. not adjacent to metro area
02090,1970,5,Nonmetro - urban larger pop. not adjacent to metro area
02100,2014_18,9,Nonmetro - rural not adjacent to metro area
02100,2000,9,Nonmetro - rural not adjacent to metro area
02100,1990,9,Nonmetro - rural not adjacent to metro area
02100,1980,9,Nonmetro - rural not adjacent to metro area
02100,1970,9,Nonmetro - rural not adjacent to metro area
02105,2014_18,9,Nonmetro - rural not adjacent to metro area
02105,2000,NA,NA
02105,1990,NA,NA
02105,1980,NA,NA
02105,1970,NA,NA
02110,2014_18,5,Nonmetro - urban larger pop. not adjacent to metro area
02110,2000,5,Nonmetro - urban larger pop. not adjacent to metro area
02110,1990,5,Nonmetro - urban larger pop. not adjacent to metro area
02110,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
02110,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
02122,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
02122,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
02122,1990,5,Nonmetro - urban larger pop. not adjacent to metro area
02122,1980,6,Nonmetro - urban smaller pop. adjacent to metro area
02122,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
02130,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
02130,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
02130,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
02130,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
02130,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
02150,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
02150,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
02150,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
02150,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
02150,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
02164,2014_18,9,Nonmetro - rural not adjacent to metro area
02164,2000,9,Nonmetro - rural not adjacent to metro area
02164,1990,9,Nonmetro - rural not adjacent to metro area
02164,1980,9,Nonmetro - rural not adjacent to metro area
02164,1970,9,Nonmetro - rural not adjacent to metro area
02170,2014_18,2,Metro - medium population
02170,2000,2,Metro - medium population
02170,1990,6,Nonmetro - urban smaller pop. adjacent to metro area
02170,1980,8,Nonmetro - rural adjacent to metro area
02170,1970,8,Nonmetro - rural adjacent to metro area
02180,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
02180,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
02180,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
02180,1980,9,Nonmetro - rural not adjacent to metro area
02180,1970,9,Nonmetro - rural not adjacent to metro area
02185,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
02185,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
02185,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
02185,1980,9,Nonmetro - rural not adjacent to metro area
02185,1970,9,Nonmetro - rural not adjacent to metro area
02188,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
02188,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
02188,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
02188,1980,9,Nonmetro - rural not adjacent to metro area
02188,1970,9,Nonmetro - rural not adjacent to metro area
02195,2014_18,9,Nonmetro - rural not adjacent to metro area
02195,2000,NA,NA
02195,1990,NA,NA
02195,1980,NA,NA
02195,1970,NA,NA
02198,2014_18,9,Nonmetro - rural not adjacent to metro area
02198,2000,NA,NA
02198,1990,NA,NA
02198,1980,NA,NA
02198,1970,NA,NA
02220,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
02220,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
02220,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
02220,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
02220,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
02230,2014_18,9,Nonmetro - rural not adjacent to metro area
02230,2000,NA,NA
02230,1990,NA,NA
02230,1980,NA,NA
02230,1970,NA,NA
02240,2014_18,9,Nonmetro - rural not adjacent to metro area
02240,2000,8,Nonmetro - rural adjacent to metro area
02240,1990,9,Nonmetro - rural not adjacent to metro area
02240,1980,9,Nonmetro - rural not adjacent to metro area
02240,1970,5,Nonmetro - urban larger pop. not adjacent to metro area
02261,2014_18,9,Nonmetro - rural not adjacent to metro area
02261,2000,9,Nonmetro - rural not adjacent to metro area
02261,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
02261,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
02261,1970,9,Nonmetro - rural not adjacent to metro area
02270,2014_18,9,Nonmetro - rural not adjacent to metro area
02270,2000,9,Nonmetro - rural not adjacent to metro area
02270,1990,9,Nonmetro - rural not adjacent to metro area
02270,1980,9,Nonmetro - rural not adjacent to metro area
02270,1970,9,Nonmetro - rural not adjacent to metro area
02275,2014_18,9,Nonmetro - rural not adjacent to metro area
02275,2000,NA,NA
02275,1990,NA,NA
02275,1980,NA,NA
02275,1970,NA,NA
02282,2014_18,9,Nonmetro - rural not adjacent to metro area
02282,2000,9,Nonmetro - rural not adjacent to metro area
02282,1990,9,Nonmetro - rural not adjacent to metro area
02282,1980,NA,NA
02282,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
02290,2014_18,9,Nonmetro - rural not adjacent to metro area
02290,2000,8,Nonmetro - rural adjacent to metro area
02290,1990,9,Nonmetro - rural not adjacent to metro area
02290,1980,9,Nonmetro - rural not adjacent to metro area
02290,1970,9,Nonmetro - rural not adjacent to metro area
04001,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
04001,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
04001,1990,5,Nonmetro - urban larger pop. not adjacent to metro area
04001,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
04001,1970,9,Nonmetro - rural not adjacent to metro area
04003,2014_18,3,Metro - smallest population
04003,2000,4,Nonmetro - urban larger pop. adjacent to metro area
04003,1990,4,Nonmetro - urban larger pop. adjacent to metro area
04003,1980,5,Nonmetro - urban larger pop. not adjacent to metro area
04003,1970,4,Nonmetro - urban larger pop. adjacent to metro area
04005,2014_18,3,Metro - smallest population
04005,2000,3,Metro - smallest population
04005,1990,5,Nonmetro - urban larger pop. not adjacent to metro area
04005,1980,5,Nonmetro - urban larger pop. not adjacent to metro area
04005,1970,5,Nonmetro - urban larger pop. not adjacent to metro area
04007,2014_18,4,Nonmetro - urban larger pop. adjacent to metro area
04007,2000,4,Nonmetro - urban larger pop. adjacent to metro area
04007,1990,4,Nonmetro - urban larger pop. adjacent to metro area
04007,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
04007,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
04009,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
04009,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
04009,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
04009,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
04009,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
04011,2014_18,7,Nonmetro - urban smaller pop. not adjacent to metro area
04011,2000,7,Nonmetro - urban smaller pop. not adjacent to metro area
04011,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
04011,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
04011,1970,7,Nonmetro - urban smaller pop. not adjacent to metro area
04012,2014_18,6,Nonmetro - urban smaller pop. adjacent to metro area
04012,2000,6,Nonmetro - urban smaller pop. adjacent to metro area
04012,1990,7,Nonmetro - urban smaller pop. not adjacent to metro area
04012,1980,7,Nonmetro - urban smaller pop. not adjacent to metro area
04012,1970,5,Nonmetro - urban larger pop. not adjacent to metro area
04013,2014_18,1,Metro - largest population
04013,2000,1,Metro - largest population
04013,1990,0,NA
04013,1980,0,NA
04013,1970,2,Metro - medium population
04015,2014_18,3,Metro - smallest population
04015,2000,4,Nonmetro - urban larger pop. adjacent to metro area
04015,1990,2,Metro - medium population
04015,1980,4,Nonmetro - urban larger pop. adjacent to metro area
04015,1970,6,Nonmetro - urban smaller pop. adjacent to metro area
04017,2014_18,4,Nonmetro - urban larger pop. adjacent to metro area
